ItemType	*Laz / status	subdivide	makepage	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
    				    																							3												0
    				    																							3												0
shie				shie	shld		1	1	rarm	larm								1					6	6	6		3		1									armo	0
tors				tors	armo		1	1	tors	tors								1					6	6	6		3		1									armo	0
gold				gold	misc														1								3												0
bowq				bowq	misl			1	rarm	larm		bow		1		1		1									3		1									misc	0
xboq				xboq	misl			1	rarm	larm		xbow		1		1		1									3		1									misc	0
play				play	misc														1	1							3											misc	0
herb				herb	misc																						3											misc	0
poti				poti	misc														1			1					3											misc	0
ring				ring	misc	dcht		1	rrin	lrin							1	1									3		1		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
elix				elix	misc																	1					3											misc	0
amul				amul	misc			1	neck	neck							1	1									3		1		3	invamu1	invamu2	invamu3				misc	0
char				char	misc															1							3				3	invch1	invch4	invch7				misc	0
    				    																							3												0
boot				boot	armo		1	1	feet	feet								1					4	4	4		3		1									armo	0
glov				glov	armo		1	1	glov	glov								1					4	4	4		3		1									armo	0
    				    																							3												0
book				book	misc														1								3											misc	0
belt				belt	armo		1	1	belt	belt								1					2	2	2		3		1									armo	0
gem 				gem 	sock														1		1						3											misc	0
torc				torc	misc			1											1								3											misc	0
scro				scro	misc														1			1					3											misc	0
    				    																							3												0
scep				scep	rod	mace	1	1	rarm	larm								1					6	6	6		2											weap	0
wand				wand	rod		1	1	rarm	larm								1					6	6	6		2			nec								weap	0
staf				staf	rod		1	1	rarm	larm								1					6	6	6		2											weap	0
bow 				bow 	miss			1	rarm	larm	bowq							1					6	6	6	1	3											weap	0
axe 				axe 	mele	dbox	1	1	rarm	larm								1					6	6	6		3											weap	0
club				club	blun	dbox	1	1	rarm	larm								1					6	6	6		3											weap	0
swor				swor	mele		1	1	rarm	larm								1					6	6	6		3											weap	0
hamm				hamm	blun		1	1	rarm	larm								1					6	6	6		3											weap	0
knif				knif	mele	dbox	1	1	rarm	larm								1					6	6	6		3											weap	0
spea				spea	mele		1	1	rarm	larm								1					6	6	6		3											weap	0
pole				pole	mele		1	1	rarm	larm								1					6	6	6		3											weap	0
xbow				xbow	miss		1	1	rarm	larm	xboq							1					6	6	6		3											weap	0
mace				mace	blun		1	1	rarm	larm								1					6	6	6		3											weap	0
Helm				helm	armo		1	1	head	head			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
tpot				tpot	thro			1	rarm	larm			1	1	1	1			1								3											misc	0
ques				ques																							3												0
body				body	misc														1								3		2									misc	0
key 				key 	misc											1			1								3											misc	0
tkni				tkni	comb	knif	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
taxe				taxe	comb	axe	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
jave				jave	comb	spea	1	1	rarm	larm			1	1	1	1		1					6	6	6		3											misc	0
weap				weap	dcht													1								1	3												0
mele				mele	weap													1								1	3												0
miss				miss	weap													1									3												0
thro				thro	weap								1					1									3												0
comb				comb	mele	thro							1					1									3												0
armo				armo	dcht													1								1	3												0
shld				shld	armo	seco												1									3												0
misc				misc														1									3												0
sock				sock	misc																						3												0
seco				seco														1									3												0
rod 				rod 	blun													1									3												0
misl				misl	misc	dcht																	1	1	1		3												0
blun				blun	mele													1									3												0
Expansion																																							0
jewl				jewl	sock	dcht											1	1			1						3				6	invjw1	invjw2	invjw3	invjw4	invjw5	invjw6	misc	0
clas				clas														1									3												0
amaz				amaz	clas	fbox												1									2			ama									0
barb				barb	clas	fbox												1									2			bar									0
necr				necr	clas													1									2			nec									0
pala				pala	clas													1									2			pal									0
sorc				sorc	clas	sbox												1									2			sor									0
assn				assn	clas	fbox												1									2			ass									0
drui				drui	clas													1									2			dru									0
h2h 				h2h 	mele	assn	1	1	rarm	larm								1					6	6	6		2			ass								weap	0
orb 				orb 	mele	sorc	1	1	rarm	larm								1					6	6	6		2			sor								weap	0
head				head	shie	necr	1	1	rarm	larm								1					6	6	6		2			nec								armo	0
ashd				ashd	shie	pala	1	1	rarm	larm								1					6	6	6		2			pal								armo	0
phlm				phlm	helm	barb	1	1	head	head								1					6	6	6		2			bar								armo	0
pelt				pelt	helm	drui	1	1	head	head								1					6	6	6		2			dru								armo	0
cloa				cloa	tors	assn	1	1	tors	tors								1									2			ass								armo	0
rune				rune	sock														1		1						3											misc	0
circ				circ	helm		1	1	head	head								1					6	6	6		3		1									armo	0
hpot				hpot	poti														1			1					3											misc	0
mpot				mpot	poti														1			1					3											misc	0
rpot				rpot	hpot	mpot													1			1					3											misc	0
spot				spot	poti														1			1					3											misc	0
