name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
gps 	tpot		gps 	gpl 	gps			2			1														2	1	32	24	200				gpl	gps 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpgpl	invgpl								so237	14	so237			5	0	1				49	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
ops 	tpot		ops 	opl 	ops			2			1														2	1	28	20	150				opl	ops 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpopl	invopl								so237	14	so237			5	0	1				46	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
gpm 	tpot		gpm 	gps 	gpm			3			1														2	1	20	16	120				gps	gpm 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpgps	invgpm								so237	14	so237			5	0	1				48	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
opm 	tpot		opm 	opl 	opm			3			1														2	1	16	12	80				opl	opm 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpops	invopm								so237	14	so237			5	0	1				45	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
gpl 	tpot		gpl 	gps 	gpl			4			1														2	1	8	6	40				gps	gpl 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpgps	invgps								so237	14	so237			5	0	1				47	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
opl 	tpot		opl 	ops 	opl			4			1														2	1	4		24				ops	opl 	    	    	1ht 	1ht 	5	hth	1	1	1	3	25	6	flpops	invops								so237	14	so237			5	0	1				44	7	3							255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255						xxx 	xxx 		1
d33 	knif		d33 	dgr 	d33			99		1	2									-20		20	15	20	20				666			401	dgr	d33 	    	    	1ht 	1ht 	5	1ht	1	2					flpd33	invd33								so244	12	so244	1		5	0			18	1		7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 		
g33 	knif		g33 	dgr 	g33			99		9	11									-20		20	15	25	60				666			401	dgr	g33 	    	    	1ht 	1ht 	5	1ht	1	2					flpg33	invg33								so244	12	so244	1		5	0			18	1		7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 		
leg 	mace		leg 	clb 	leg			1		8	12									-10	20				126				20			401	clb	leg 	    	    	1hs 	1hs 	5	1hsl	1	3					flpleg	invleg			1	1				so245	12	so245			5	0			1	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8		xxx 	xxx 	1	
hdm 	hamm		hdm 	whm 	hdm					10	16									20	30		15	15	110				600			401	whm	hdm 	    	    	1hs 	1hs 	5	1hsl	1	2					flphmr	invhmr								so246	12	so246	1		5	0			4	1		7								255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 		
hfh 	hamm		hfh 	whm 	hfh					13	39										30				110			20	600			401	whm	hfh 	    	    	1hs 	1hs 	5	1hsl	2	3					flphmr	invhfh			1	1				so246	12	so246	1		5	0			25	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx 	xxx 		
hst 	staf		hst 	bst 	hst			2					1	14	20				2			10	15		100			15	1223			401	bst	hst 	    	    	stf 	stf 	5	staf	1	4					flphst	invhst						magically charged		so245	12	so245	1		5	0			10	1		7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx 	xxx 		
msf 	staf		msf 	bst 	msf			2					1	13	16				2			10	12		90				1223			401	bst	msf 	    	    	stf 	stf 	5	staf	1	3					flpmsf	invmsf						magically charged		so245	12	so245	1		5	0			10	1		7			5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			5	8	1	xxx 	xxx 		
qf1 	mace		qf1 	fla 	qf1					8	13									-10	20		41	35	60			15	1412			401	fla	qf1 	qf1 	qf1 	1hs 	1hs 	5	1hsl	2	3					flpfla	invqf1			1	3				so246	12	so246	1		5	0			17	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx 	xxx 		
qf2 	mace		qf2 	fla 	qf2					8	13									-10	20				60			20	1412			401	fla	qf2 	qf2 	qf2 	1hs 	1hs 	5	1hsl	2	3					flpfla	invqf2			1	3				so246	12	so246	1		5	0			17	1		7			1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2	1	xxx 	xxx 		
tax 	taxe		tax 	hax 	tax					10	11					6	8			10				40	6		7		11				hax	tax 	9ta 	7ta 	1hs 	1hs 	5	1hsl	1	2	1	16	130	32	flptax	invtax						primarily thrown		so244	12	so244			5	0					35	7	5		3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
bsd 	swor		bsd 	bsd 	bsd					11	16												48		32		15		1029				ssd	bsd 	9bs 	7bs 	1hs 	1hs 	5	1hsl	2	3					flpbsd	invbsd			1	4				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
vou 	pole		vou 	hal 	vou								1	10	20				2				50		50		11		611				hal	vou 	9vo 	7vo 	stf 	stf 	5	2hsl	2	4					flpvou	invvou			1	4		2 square reach		so250	12	so250			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			2	2		xxx 	xxx 	1	
4@A 	pmac	tier	4@A 	mac 	4@A			10	1	16	25								1	10	20		62		69		12	4	513			401	mac	4@A 	4@A 	4@A 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	1				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
5@A 	pmac	tier	5@A 	mac 	5@A			10	1	24	35								1	10	20		97		69		26	8	2025			402	mac	5@A 	5@A 	5@A 	1hs 	1hs 	5	1hsl	1	3					flpmst	invmstu			1	2				so246	12	so246			5	0						7			3					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2		xxx 	xxx 	1	
